216	42.23	48.01	41.63	37.18	49.46	52.64	43.35	32.66
217	42.42	48.43	41.90	37.29	49.79	53.02	43.60	32.69
218	42.62	48.83	42.16	37.39	50.11	53.38	43.86	32.74
219	42.81	49.21	42.42	37.51	50.45	53.72	44.13	32.78
220	43.02	49.58	42.67	37.63	50.77	54.05	44.41	32.82
221	43.22	49.92	42.92	37.75	51.09	54.37	44.70	32.86
222	43.43	50.25	43.16	37.88	51.40	54.68	44.99	32.90
223	43.64	50.54	43.40	38.01	51.72	54.89	45.28	32.95
224	43.85	50.67	43.59	38.13	52.01	54.85	45.56	32.99
225	44.06	50.65	43.72	38.27	52.24	54.62	45.83	33.04
226	44.24	50.48	43.79	38.40	52.41	54.27	46.07	33.09
227	44.41	50.22	43.81	38.53	52.50	53.85	46.28	33.13
228	44.55	49.89	43.77	38.65	52.53	53.40	46.44	33.18
229	44.67	49.52	43.70	38.75	52.50	52.95	46.55	33.24
230	44.75	49.13	43.60	38.85	52.42	52.51	46.61	33.28
231	44.80	48.74	43.48	38.92	52.31	52.09	46.63	33.34
232	44.83	48.36	43.34	38.99	52.17	51.70	46.62	33.39
233	44.83	47.99	43.20	39.05	52.02	51.33	46.57	33.44
234	44.82	47.64	43.05	39.09	51.84	50.98	46.49	33.51
235	44.79	47.29	42.90	39.12	51.67	50.67	46.39	33.56
236	44.75	46.98	42.75	39.15	51.47	50.36	46.27	33.62
237	44.69	46.68	42.60	39.16	51.27	50.08	46.13	33.68
238	44.63	46.41	42.46	39.17	51.07	49.86	45.98	33.74
239	44.57	46.20	42.33	39.17	50.88	49.70	45.82	33.80
240	44.49	46.00	42.22	39.17	50.69	49.52	45.66	33.86
241	44.42	45.81	42.10	39.17	50.51	49.33	45.50	33.92
242	44.35	45.62	41.99	39.16	50.33	49.13	45.33	33.98
243	44.28	45.46	41.89	39.14	50.15	49.04	45.17	34.04
244	44.21	45.46	41.82	39.13	49.99	49.24	45.01	34.09
245	44.14	45.64	41.81	39.11	49.89	49.67	44.87	34.15
246	44.09	45.95	41.86	39.10	49.87	50.22	44.76	34.20
247	44.06	46.36	41.97	39.09	49.93	50.82	44.70	34.26
248	44.05	46.83	42.12	39.09	50.06	51.43	44.67	34.31
249	44.07	47.34	42.31	39.10	50.25	52.01	44.69	34.35
250	44.13	47.84	42.53	39.12	50.47	52.58	44.76	34.40
251	44.21	48.35	42.76	39.15	50.73	53.10	44.86	34.44
252	44.32	48.85	43.01	39.20	51.00	53.59	45.00	34.49
253	44.45	49.33	43.27	39.26	51.29	54.06	45.16	34.53
254	44.59	49.79	43.54	39.32	51.59	54.49	45.35	34.57
255	44.75	50.23	43.80	39.40	51.90	54.91	45.56	34.61
256	44.91	50.66	44.06	39.49	52.21	55.29	45.79	34.65
257	45.09	51.06	44.32	39.58	52.53	55.65	46.02	34.69
258	45.28	51.45	44.58	39.68	52.84	56.00	46.28	34.73
259	45.46	51.81	44.84	39.79	53.15	56.34	46.55	34.77
260	45.66	52.16	45.09	39.91	53.46	56.66	46.82	34.81
261	45.85	52.50	45.33	40.02	53.77	56.97	47.09	34.85
262	46.05	52.81	45.57	40.15	54.08	57.27	47.38	34.89
263	46.25	53.10	45.80	40.27	54.38	57.51	47.66	34.93
264	46.45	53.29	46.00	40.40	54.67	57.55	47.94	34.97
265	46.65	53.30	46.15	40.52	54.91	57.37	48.20	35.01
266	46.83	53.17	46.24	40.66	55.09	57.05	48.44	35.05
267	47.00	52.93	46.26	40.78	55.20	56.64	48.65	35.09
268	47.14	52.61	46.24	40.89	55.23	56.19	48.82	35.14
269	47.25	52.25	46.17	41.00	55.21	55.72	48.93	35.19
270	47.33	51.85	46.07	41.09	55.14	55.27	49.00	35.24
271	47.38	51.46	45.94	41.17	55.03	54.83	49.03	35.29
272	47.41	51.06	45.81	41.23	54.89	54.43	49.01	35.34
273	47.41	50.68	45.65	41.29	54.73	54.04	48.96	35.40
274	47.39	50.31	45.50	41.33	54.55	53.67	48.89	35.45
275	47.36	49.96	45.34	41.36	54.36	53.33	48.79	35.51
276	47.32	49.63	45.18	41.38	54.16	53.02	48.66	35.56
277	47.26	49.32	45.02	41.39	53.95	52.73	48.52	35.62
278	47.19	49.02	44.87	41.39	53.74	52.44	48.37	35.68
279	47.12	48.75	44.72	41.39	53.53	52.18	48.20	35.73
280	47.05	48.49	44.57	41.39	53.31	51.93	48.02	35.79
281	46.96	48.25	44.43	41.38	53.10	51.69	47.84	35.84
282	46.88	48.01	44.29	41.36	52.88	51.47	47.65	35.90
283	46.79	47.82	44.16	41.34	52.67	51.31	47.46	35.96
